Status,File,Node,Line ID,Hash,Text
,"scenes/main_scene0_test.yarn",,,,
,,"Start",,,
,,,"#610621","#4243c5","((Texto de exemplo para escolher diálogos))\n((Texto de exemplo para confirmar))"
,,,"#1f1acc","#69893d","Dia XX - Local de Teste"
,,,"#c6d8fd","#a2f798","???: Saudações, aventureire."
,,,"#e324cd","#149062","???: Tudo na paz?"
,,,"#d34bfa","#150104","???: Você tá na minha mesma vibe?"
,,,"#7fd5e4","#a7ce97","???: Acorda aí."
,,,"#7cd864","#cd0bcc","???: É hora de brilhar!"
,,,"#ce807b","#64a917","YOU: Ugh..."
,,,"#d7b82c","#b08359","Você acorda no meio de um sonho\nbizarro sobre cogumelos falantes."
,,,"#6e4123","#d2637e","Parece que seu despertador onírico não tocou..."
,,,"#3009e7","#b628ae","Seu colega de quarto, Maple, te acorda."
,,,"#79ceda","#a6df4b","MAPLE: Uau, finalmente! Como você dorme tanto?!"
,,,"#c31ed1","#79f12a","MAPLE: Não que eu seja exemplo..."
,,,"#966273","#c81df1","MAPLE: Mas afinal. Você não deveria\neestar na aula? Já são 8h40..."
,,,"#d82166","#fb26f8","YOU: Ahh--! Maple... estou atrasade!"
,,,"#38e002","#874a6f","MAPLE: Bem, é o seu primeiro dia. Ouch."
,,,"#32479d","#4f2c1f","MAPLE: Não quero ser o diabinho no seu ombro, mas..."
,,,"#08cb14","#c871e8","MAPLE: Você bem que podia matar essa aula."
,,,"#4acc9c","#3c805d","MAPLE: E ao invés disso, vamos comer\numas plantas e vegetais. Nham."
,,,"#0ce9bb","#3082d0","Na pressa do universo,\nvocê se prepara para sair."
,,,"#3c677a","#708d4b","Você sente uma tontura súbita."
,,,"#12b01e","#52db44","Você não faz ideia de onde está,\nnem quem diabos é Maple..."
,,,"#2a38ed","#fb1e46","Acho que, ao invés de questionar o absurdo\nde tudo isso, você apenas aceita..."
